"!symbol / month","!symbol / month"
"Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Orders, with payments that have been pending for longer than the specified time-out in minutes, are cancelled automatically. To use this feature you have to setup the Magento cron."
"Paid Amount","Paid Amount"
"Partial captures/refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend.","Partial captures/refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend."
"Partial captures/refunds of Klarna payments containing discount/coupons items cannot be created in the shop. This can only be done in the PSP backend.","Partial captures/refunds of Klarna payments containing discount/coupons items cannot be created in the shop. This can only be done in the PSP backend."
"Partial refund not possible. You may retry with the total transaction amount.","Partial refund not possible. The sum is larger than the total captured amount."
"Password","Password"
"Password and password confirmation are not equal.","""Password"" and ""Password Confirmation"" don't match."
"Pay with ____paymentMethodName____","Pay with ____paymentMethodName____"
"Payment","Payment"
"Payment ID","Payment ID"
"Payment Id","Payment ID"
"Payment Information","Payment Information"
"Payment Information only","Payment Information only"
"Payment Method","Payment Method"
"Payment and Billing","Payment and Billing"
"Payment captured successfully.","Payment captured successfully"
"Payment could not be authorized. Cancelling order. Reason : ","Payment could not be authorised. Order is being cancelled for the reason:"
"Payment details can be entered after placing the order","Payment details can be entered after placing the order"
"Payment from Applicable Countries","Payment from applicable countries"
"Payment from Specific Countries","Payment from specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Payment from specific countries","Payment from specific countries"
"Payment is pending at FirstDataConnectCw","Payment is pending with FirstDataConnectCw"
"Payment method description","Payment method description"
"Payment with %s","Payment with %s"
"Payment with FirstData Connect","Payment with FirstData Connect"
"Payment, Billing and Shipping","Payment, Billing and Shipping"
"Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","The state of the payment will be be updated periodically (interval in minutes) via API if activated. To use this feature you have to setup Magento cron."
"Pending","Pending"
"Pending FirstDataConnectCw","Pending FirstDataConnectCw"
"Phone Number","Phone number"
"Place Order","Place Order"
"Please accept the terms and conditions.","Please accept the terms and conditions."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Please check the entered CVC number.","Please check the entered CVC number."
"Please check the entered credit card number.","Please check the entered credit card number."
"Please configure the Klarna Merchant ID","Please configure the Klarna Merchant ID"
